feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25
44.68,49.17,62.28,24.14,65.78,39.93,34.94,38.9,52.98,59.82,73.76,52.35,70.12,72.67,84.56,48.72,78.71,69.55,85.5,113.84,62.39,75.11,35.87,118.94,35.13
70.45,33.65,41.8,46.1,37.3,72.31,51.26,50.55,80.78,56.41,75.66,71.18,43.63,54.27,73.78,36.05,45.19,75.5,35.04,121.23,95.31,53.54,107.39,66.35,63.17
50.86,56.39,58.48,59.44,40.61,65.5,63.78,65.01,79.46,67.34,68.82,35.32,60.95,66.83,84.02,76.03,54.56,67.67,87.94,57.22,44.1,91.27,81.63,52.85,81.28
39.89,59.12,58.81,42.21,19.51,63.0,44.97,44.25,70.39,42.3,52.61,77.85,61.7,85.02,34.96,97.39,90.23,37.52,41.63,23.64,80.56,45.45,75.94,82.4,26.41
59.64,46.68,65.19,54.71,44.88,65.3,37.74,80.47,54.26,59.56,30.36,47.95,84.54,99.19,55.87,48.07,56.58,68.6,87.77,81.91,85.93,98.97,104.7,47.03,76.91
38.18,69.31,84.74,59.36,66.96,87.13,57.94,75.14,87.79,65.93,53.32,46.24,51.23,78.52,49.05,88.0,87.76,69.21,62.1,73.73,68.09,92.81,76.17,111.84,78.55
53.19,38.52,57.51,49.89,61.46,84.41,68.64,36.0,36.48,60.5,56.28,60.18,58.68,95.67,86.43,66.78,75.78,72.61,44.98,91.22,89.31,101.19,77.72,104.88,48.37
30.42,35.89,47.15,56.05,52.23,47.07,34.12,44.95,38.65,80.2,56.15,68.93,24.45,53.3,58.29,41.96,67.96,56.72,80.3,75.7,74.03,68.68,75.83,70.39,81.09
37.05,54.47,52.71,42.45,54.72,77.11,68.07,26.0,57.79,71.61,70.59,64.62,91.62,75.93,79.79,45.63,54.0,45.29,87.11,71.17,95.95,61.58,85.12,54.26,75.17
53.07,63.52,32.66,51.52,46.39,60.98,68.03,47.04,91.68,59.89,91.78,50.12,45.34,86.75,74.38,66.28,65.26,79.87,60.46,92.58,39.79,73.76,62.41,64.63,48.2
58.75,70.52,45.01,61.32,57.56,62.49,69.88,68.73,56.07,63.25,62.91,53.9,68.39,48.76,49.91,58.72,70.51,62.8,83.05,95.38,63.85,70.23,68.39,67.5,95.69
52.8,46.95,48.29,55.88,64.57,34.0,73.45,52.21,56.34,64.43,57.64,43.87,61.33,55.74,54.73,42.37,86.1,71.25,24.44,42.27,69.53,58.29,90.42,82.44,93.85
49.79,63.87,46.97,46.96,34.8,53.78,86.73,64.45,38.09,66.05,56.98,58.41,61.38,93.54,87.64,35.51,50.61,62.65,43.25,53.67,16.22,60.37,78.96,96.87,68.48
47.84,51.58,54.75,56.69,58.75,45.43,52.19,36.69,72.72,32.62,62.93,79.2,76.36,47.42,51.43,50.76,62.14,67.88,94.2,67.89,48.74,64.31,70.54,51.2,70.53
35.48,50.1,43.54,62.58,66.66,66.76,58.48,69.17,72.82,55.48,48.16,61.93,90.58,41.2,67.19,69.49,67.83,59.46,64.64,71.97,54.32,47.43,42.89,96.24,91.34
43.44,61.72,65.89,29.4,49.81,69.92,51.38,50.23,70.44,37.73,62.86,75.75,67.15,89.98,51.31,65.88,79.26,49.61,32.69,65.48,90.44,86.24,105.21,87.59,70.49
46.16,59.18,53.0,67.91,63.76,29.03,57.03,58.17,49.88,79.17,67.99,85.29,73.81,84.34,59.51,56.98,50.19,77.0,55.37,78.68,56.51,70.9,58.78,62.83,31.55
62.1,34.66,52.89,49.96,90.18,55.71,77.69,56.7,48.75,59.09,64.25,52.59,68.43,71.35,64.19,69.63,42.64,56.54,50.99,89.92,54.23,65.52,94.23,50.09,85.96
54.61,68.24,49.23,59.11,53.7,70.58,38.84,40.2,40.25,57.1,68.09,59.01,79.79,63.22,51.3,84.72,79.47,71.12,65.76,104.45,87.76,48.68,76.78,76.56,56.7
32.49,67.18,54.78,68.37,59.92,53.57,45.38,41.86,60.22,73.45,67.72,96.74,55.36,56.55,48.19,73.09,38.92,75.8,61.77,81.58,37.83,47.63,45.19,50.69,66.23
54.4,45.12,62.49,37.54,45.77,65.48,75.59,71.55,43.33,66.33,33.54,85.11,80.74,68.79,70.01,63.82,90.77,56.85,72.49,52.95,28.54,112.65,99.92,96.52,107.8
46.96,56.35,43.03,45.49,57.27,60.57,70.77,63.59,41.93,43.07,70.87,35.24,81.32,90.86,50.22,82.71,64.12,45.13,67.65,67.05,63.59,58.83,78.47,49.27,71.99
43.89,57.43,45.43,50.54,60.75,60.44,52.1,72.7,52.86,58.94,50.6,68.19,80.86,68.06,50.81,48.72,38.37,114.1,95.51,68.49,41.32,84.82,101.71,86.05,75.04
57.42,54.87,49.51,44.59,57.44,52.47,68.53,62.55,51.91,54.97,44.01,62.01,52.11,100.84,48.57,61.95,58.11,57.97,77.28,80.29,42.1,75.42,69.08,72.23,86.47
61.83,45.95,37.52,74.82,42.25,40.18,61.61,60.0,51.2,33.83,43.88,75.22,60.22,48.73,63.64,62.38,74.01,79.84,77.92,77.76,82.76,13.72,88.14,61.67,86.37
60.78,44.61,43.58,43.72,57.58,41.42,77.25,33.84,65.76,49.65,67.72,50.08,66.95,63.67,81.51,43.73,57.15,104.85,91.72,111.01,88.96,109.64,35.11,71.74,54.32
42.19,51.72,47.52,47.33,73.28,65.22,58.01,54.21,60.15,57.25,57.55,48.57,40.38,57.66,91.36,58.44,67.37,83.01,61.42,60.77,87.17,86.37,62.25,97.76,73.64
47.75,64.9,63.06,56.45,60.61,56.25,70.85,57.62,54.82,58.28,34.93,51.18,89.32,45.55,52.3,28.65,80.69,62.29,44.39,77.7,93.73,55.88,45.63,47.77,75.81
54.48,57.98,56.02,39.57,67.02,54.2,92.67,85.34,61.65,37.77,68.41,52.85,62.8,61.4,102.63,100.42,63.26,66.72,92.54,117.09,96.44,71.4,64.94,64.93,81.12
61.24,47.92,55.23,49.25,52.04,50.49,65.07,67.62,44.62,77.27,38.69,75.05,67.68,71.09,47.42,49.13,49.66,52.18,71.65,58.3,27.36,47.87,83.14,57.46,81.51
45.97,60.49,62.79,57.81,64.37,52.03,57.67,79.5,60.53,58.47,63.17,43.1,53.48,72.91,83.96,94.55,61.47,84.75,71.72,72.9,80.23,110.35,60.0,73.15,133.22
49.05,20.67,51.42,50.01,58.49,69.61,66.75,66.37,61.18,60.56,64.7,52.04,41.11,100.9,52.37,66.69,93.17,78.76,56.65,51.1,60.14,52.94,91.57,58.94,48.54
39.38,64.64,57.49,52.88,43.11,51.64,52.07,48.04,37.21,66.01,74.73,33.38,53.03,71.9,49.76,76.17,98.17,58.23,56.97,71.64,55.68,61.02,54.58,35.1,97.05
38.44,32.86,51.81,47.65,58.98,38.57,89.24,59.64,73.44,48.18,88.62,78.11,66.62,83.55,51.97,57.2,29.63,48.2,85.51,54.4,82.49,56.68,92.03,50.79,101.63
59.53,48.01,56.05,35.83,42.6,65.67,59.43,61.31,46.22,66.85,39.85,82.34,74.11,65.12,64.08,69.74,87.18,42.9,88.2,90.94,35.53,73.69,101.16,110.03,86.09
65.24,39.68,46.3,57.86,47.09,53.34,53.32,44.85,60.31,54.49,60.19,56.77,65.67,92.53,75.15,77.71,71.63,86.74,84.28,72.95,35.1,100.78,94.79,79.43,60.37
50.24,37.76,24.95,75.06,57.37,56.41,45.72,52.62,75.88,46.55,56.72,57.23,68.72,104.77,76.72,77.96,84.09,70.29,84.46,51.29,83.99,109.58,65.6,78.67,112.46
61.54,64.77,51.46,54.22,58.72,76.9,71.81,55.12,72.42,68.6,67.72,69.25,57.44,73.03,48.48,79.95,56.82,72.08,80.1,86.81,81.0,63.62,27.3,67.78,25.68
54.8,46.86,69.36,56.7,40.13,55.73,68.71,80.48,59.5,82.38,64.34,85.59,71.19,47.12,47.68,59.37,34.29,52.36,71.56,73.59,73.8,79.94,85.52,72.86,59.63
44.23,55.81,63.65,62.31,68.17,59.76,50.29,28.87,53.74,70.87,55.54,68.54,87.47,54.67,48.96,57.35,77.81,40.19,65.58,89.06,52.96,73.72,70.31,64.54,101.36
54.79,51.48,64.1,38.77,62.15,40.67,64.78,74.88,72.74,73.84,54.17,50.84,74.63,68.79,63.05,37.3,49.59,86.29,92.6,47.05,86.25,51.39,51.96,85.59,66.67
67.15,57.25,67.22,74.43,46.19,53.14,36.63,44.88,68.78,52.19,43.7,36.1,76.36,71.76,61.32,75.42,41.32,68.8,61.71,77.38,84.95,122.87,61.04,76.22,110.92
50.62,52.85,54.02,56.43,35.78,63.92,59.5,38.79,50.03,36.04,76.31,44.16,67.85,75.87,48.37,85.48,42.61,85.24,76.21,85.47,72.75,100.62,103.84,48.23,40.98
67.43,37.89,55.27,73.58,53.19,35.78,63.11,74.52,47.47,82.35,68.12,63.17,38.2,71.82,69.72,95.09,78.12,60.67,53.32,61.53,46.86,75.97,48.55,79.58,49.98
23.49,62.96,45.9,45.2,49.43,58.61,80.05,68.25,28.95,90.82,75.23,51.51,45.76,64.12,104.59,71.49,69.58,63.5,56.14,44.82,62.28,105.22,83.07,19.91,63.04
59.63,46.57,49.37,75.82,56.41,57.31,46.59,75.56,61.23,83.14,56.19,65.12,70.51,53.18,56.17,52.2,81.48,81.55,64.39,69.17,88.18,97.45,77.69,83.1,84.39
51.91,34.88,60.08,63.3,50.46,56.54,39.74,69.21,57.8,54.96,50.82,53.15,62.82,70.82,57.41,35.45,79.38,81.91,53.32,94.56,98.21,73.72,65.32,42.99,70.0
47.86,47.29,66.84,60.64,29.91,69.48,44.91,86.84,75.47,42.68,44.29,45.07,70.26,95.53,74.79,84.75,59.21,83.15,84.56,92.52,64.31,78.85,86.86,71.89,63.97
51.96,68.51,51.4,56.81,50.15,60.35,38.96,65.82,64.21,44.01,66.56,43.17,90.66,81.34,55.22,33.67,65.7,62.39,42.71,61.43,65.88,103.75,108.09,47.72,106.96
30.13,61.35,47.82,51.02,51.18,75.21,75.04,55.81,78.35,34.74,44.88,87.0,74.98,73.09,76.71,59.87,57.54,79.68,70.93,44.34,67.69,52.13,66.64,74.06,109.05
48.69,48.16,53.01,68.41,62.92,43.08,77.91,62.8,48.89,58.39,89.65,76.22,83.77,81.5,52.43,61.96,63.11,89.07,71.58,61.38,76.64,107.15,67.77,86.72,65.68
54.75,48.16,59.91,55.68,46.27,57.77,61.32,75.41,75.5,84.09,40.73,89.69,64.56,57.69,97.06,64.75,49.11,66.01,33.69,60.63,59.09,67.27,86.37,107.06,36.53
66.52,48.46,36.4,30.4,75.98,57.1,73.49,47.09,51.33,57.88,65.24,70.64,49.68,55.36,71.03,66.64,74.22,58.24,60.4,78.93,11.67,104.02,92.74,40.09,26.46
45.56,74.84,26.59,40.59,31.1,42.1,58.81,48.87,70.28,64.53,85.29,55.12,62.05,51.29,54.15,68.49,86.89,93.51,73.99,67.9,95.45,71.89,70.25,95.46,80.38
42.51,56.2,46.67,51.77,71.39,68.43,55.72,53.67,37.85,80.63,70.29,83.17,49.72,61.87,54.7,22.52,51.89,55.57,77.36,54.93,107.79,79.09,66.43,76.89,89.76
45.73,56.73,38.96,57.72,52.2,86.22,52.5,28.54,62.41,53.94,63.72,61.47,88.71,56.83,56.01,66.26,90.7,79.96,65.02,92.09,58.45,71.28,25.32,64.09,76.42
60.61,63.33,47.16,53.32,65.74,55.78,52.81,59.93,30.22,90.53,45.99,65.53,76.04,84.54,89.02,25.87,69.1,66.89,82.2,72.81,49.13,60.83,56.27,90.72,73.4
54.45,54.63,51.3,68.63,56.0,62.57,36.1,31.59,55.13,89.88,39.58,61.31,71.59,55.92,42.8,79.18,71.46,33.01,66.87,78.71,68.19,66.33,48.5,68.81,56.9
45.44,49.15,47.79,30.59,69.24,57.1,60.57,58.74,65.39,58.03,72.94,14.85,83.39,50.35,53.31,56.01,35.56,89.44,69.27,35.5,67.16,100.96,87.72,89.79,89.74
56.39,49.84,69.7,55.72,50.16,46.72,56.46,70.11,51.45,51.34,84.35,87.68,29.67,97.02,55.17,27.17,33.57,15.6,73.91,21.51,91.41,23.4,67.76,52.17,112.76
52.02,51.21,56.76,32.18,41.27,32.33,67.06,51.32,43.77,70.46,54.2,69.86,72.7,56.33,64.73,51.34,69.67,30.3,87.08,41.25,72.12,45.98,66.92,60.07,25.12
61.17,51.59,56.46,63.12,72.76,46.82,58.26,81.48,71.27,54.79,43.34,67.28,41.37,66.61,60.26,55.74,81.61,78.02,55.82,60.39,54.75,56.77,72.81,94.76,73.26
43.63,60.0,60.16,52.87,53.58,37.9,54.8,37.55,57.5,42.65,22.9,61.01,62.88,71.67,38.9,87.43,54.58,78.01,59.51,81.53,43.97,49.35,54.29,106.68,53.17
47.56,52.57,39.9,59.04,57.77,78.15,45.24,74.68,51.9,79.22,45.8,64.61,57.86,44.68,58.0,69.54,97.9,55.89,55.96,23.16,88.75,103.71,106.39,73.23,41.46
46.88,60.06,64.95,43.63,70.43,54.5,57.97,67.45,59.61,78.25,59.24,52.44,73.92,85.0,63.26,72.2,80.6,70.81,62.52,101.86,83.29,98.41,100.91,12.68,49.58
35.63,51.11,52.13,69.35,42.1,51.5,66.97,33.98,97.23,62.33,85.79,71.87,66.77,74.83,54.01,87.26,50.2,19.9,96.81,73.41,92.74,84.43,107.79,69.62,83.54
54.11,52.86,60.71,66.5,62.44,67.56,41.56,95.95,75.73,41.06,71.43,41.09,85.19,90.49,77.02,64.27,67.57,81.43,80.17,97.21,51.15,58.61,87.69,74.71,84.11
53.74,30.02,40.67,61.0,47.63,41.42,58.18,57.11,75.86,41.56,65.73,64.98,53.07,52.45,81.09,79.58,112.82,72.74,46.94,52.28,108.69,100.04,72.37,68.88,107.86
51.05,62.08,35.13,52.45,53.35,46.03,60.15,45.72,65.32,61.61,54.8,70.99,74.7,65.69,63.63,78.31,44.01,67.13,57.29,80.08,35.25,38.65,107.72,81.4,75.2
48.54,55.81,62.41,60.96,55.9,56.88,47.31,38.3,61.41,52.5,51.96,58.82,65.68,64.67,69.03,42.84,76.77,68.4,76.27,71.7,85.55,116.98,58.36,63.51,35.44
36.14,62.98,57.33,45.52,36.25,69.37,49.06,54.92,24.26,54.88,82.79,67.93,36.02,68.49,27.18,92.51,61.03,77.37,51.32,86.35,31.85,57.62,54.27,92.46,69.64
46.58,20.14,42.63,64.27,45.26,62.52,60.11,56.22,49.15,75.33,64.11,46.14,47.84,39.27,57.63,40.43,80.08,67.45,54.86,65.32,54.8,66.5,60.07,48.33,43.81
47.4,74.97,43.0,73.79,71.89,59.23,41.7,59.44,52.03,71.0,28.41,46.55,60.53,65.88,82.58,82.51,90.44,32.39,95.23,79.46,103.0,62.98,84.24,101.21,47.85
42.58,50.46,65.94,66.85,66.08,57.02,61.72,53.83,31.81,80.67,50.56,65.79,81.35,39.75,57.59,38.69,59.85,109.73,57.04,92.04,88.04,49.46,56.61,108.1,88.06
49.31,64.19,39.32,45.24,54.22,61.2,44.91,66.87,42.22,45.14,47.7,72.86,70.65,70.09,52.1,76.82,87.7,90.82,87.62,56.98,59.8,112.43,69.66,53.91,79.37
55.24,40.56,71.89,58.34,58.04,58.62,71.35,52.57,30.28,54.85,52.53,32.0,43.74,27.81,104.86,99.51,108.09,43.59,93.48,74.84,60.36,88.57,38.56,53.9,88.22
70.8,58.74,42.64,38.48,51.32,42.61,88.56,30.91,58.44,71.38,69.73,70.35,60.68,32.52,96.83,62.17,68.23,61.44,54.7,32.24,73.06,97.52,83.34,83.04,66.96
52.83,40.41,60.34,60.87,71.96,56.6,45.38,55.91,70.87,66.72,59.33,53.31,96.29,77.92,73.18,61.39,81.52,63.52,51.65,84.05,81.54,46.3,40.38,47.88,92.79
53.7,45.14,49.22,59.41,52.5,42.04,64.21,24.86,75.05,82.99,59.81,58.92,64.84,54.7,84.93,76.99,56.08,88.5,63.62,109.09,96.66,75.8,52.96,63.16,65.7
50.22,73.05,59.94,31.56,57.9,57.05,47.19,62.95,65.01,66.31,81.36,40.57,57.6,47.21,26.05,60.07,67.36,26.97,47.77,45.11,61.65,82.94,99.17,98.26,100.13
30.85,49.9,46.74,40.06,69.33,49.75,71.05,44.29,45.03,87.72,50.2,48.37,71.11,85.6,51.22,98.73,63.73,58.52,71.36,68.17,37.96,77.69,98.38,90.23,82.75
50.72,54.39,51.13,50.6,45.28,89.01,39.92,60.29,30.99,68.1,89.9,77.46,75.6,69.57,56.78,69.46,81.74,34.55,64.99,87.61,74.22,47.63,81.05,117.56,70.34
51.63,61.57,53.47,50.39,74.48,55.48,63.49,76.4,33.53,75.93,50.59,62.53,55.47,78.83,60.87,60.24,89.29,62.58,76.03,70.63,61.62,94.59,78.93,77.76,79.77
76.86,57.45,41.47,39.49,35.87,37.74,45.21,44.72,40.6,55.15,62.38,55.88,71.29,61.17,56.43,56.27,64.97,59.02,96.24,73.3,44.34,74.55,61.58,60.56,74.6
48.98,53.65,61.52,58.67,75.37,54.26,54.21,72.86,46.11,60.21,56.64,60.14,57.57,109.55,20.37,49.21,95.37,69.51,84.94,62.18,77.1,51.95,56.38,75.13,110.91
54.17,56.01,47.1,57.02,50.34,62.75,43.08,51.93,56.68,73.66,62.91,69.83,74.87,53.72,71.76,54.7,95.31,56.51,78.54,61.44,66.63,33.04,65.21,70.69,80.52
50.64,78.44,50.37,51.67,51.97,77.75,68.1,82.54,44.29,84.19,67.89,69.05,65.8,93.66,74.51,59.69,82.67,53.73,30.66,68.27,77.28,84.74,40.46,71.0,74.96
38.73,51.37,41.56,44.93,31.37,48.34,45.7,52.89,63.92,70.94,67.72,60.8,70.95,62.96,93.03,57.22,57.45,79.77,77.65,70.83,52.66,123.46,78.43,73.48,69.63
63.0,54.21,23.53,66.58,49.32,35.43,64.45,46.23,55.63,58.75,49.33,79.49,50.47,35.87,51.2,54.15,55.68,76.64,102.59,46.37,80.98,50.68,74.05,53.5,93.97
58.9,63.56,50.8,73.86,42.0,66.62,52.35,67.62,59.15,80.66,43.59,77.53,49.45,72.21,49.77,103.78,51.97,78.48,10.29,68.68,44.0,75.58,52.93,80.21,90.93
59.31,64.16,80.75,48.2,47.4,38.05,55.45,51.9,75.53,27.12,99.8,68.61,78.6,69.35,18.1,47.46,84.56,64.64,82.44,101.37,54.03,95.32,106.73,43.01,68.84
41.45,65.06,62.02,46.65,53.28,50.33,58.99,46.22,41.89,38.67,53.5,62.87,61.69,46.13,59.86,68.64,44.58,57.14,65.89,61.62,66.02,45.34,86.05,58.23,49.0
65.73,59.03,52.78,59.89,66.97,52.65,46.72,51.31,65.07,70.22,71.84,72.52,67.7,48.32,80.77,76.67,79.52,65.74,52.43,45.25,106.71,61.92,87.87,71.38,54.71
36.28,39.43,49.98,49.7,57.6,55.09,59.84,57.38,58.8,60.21,36.08,67.03,57.94,63.58,54.29,77.34,47.0,77.52,84.62,66.97,87.09,53.94,62.52,24.29,70.86
57.16,69.97,53.26,52.33,58.85,64.96,77.66,76.79,54.16,69.08,56.67,78.97,77.83,69.95,102.51,64.95,82.24,26.64,102.34,55.71,93.08,92.68,72.97,90.92,105.35
74.0,39.39,59.29,62.88,41.31,47.11,46.5,30.92,71.84,60.97,59.03,76.39,52.97,22.0,60.51,61.67,67.32,75.49,84.12,43.23,100.05,99.84,86.49,28.83,69.37
40.6,55.33,39.42,31.09,43.99,52.44,72.82,58.32,71.75,68.56,68.33,45.71,60.76,81.9,67.57,74.13,91.67,73.87,61.76,72.78,144.86,75.34,76.28,88.73,61.63
45.05,43.7,65.81,69.82,77.48,55.81,77.22,66.75,45.28,47.78,18.8,44.62,75.97,55.59,41.15,70.8,88.12,69.18,50.6,55.79,71.85,54.32,107.44,45.56,35.38
52.05,51.29,61.23,54.87,45.81,57.94,45.98,60.71,56.36,68.56,63.58,50.78,82.35,41.36,70.03,61.34,93.55,65.16,71.82,57.51,100.12,62.7,68.62,65.09,109.05
45.71,55.62,61.26,49.06,75.7,57.27,37.36,76.34,63.08,74.92,43.18,77.62,54.36,80.0,30.36,37.89,94.03,19.24,86.03,73.07,91.76,58.76,62.15,85.42,87.8
34.72,55.53,58.04,52.93,51.96,61.67,61.08,56.96,55.04,78.31,66.03,36.78,95.33,63.6,77.14,57.58,69.66,59.64,61.45,39.34,91.42,51.48,86.64,122.36,92.91
51.72,56.64,53.23,53.55,55.03,66.97,49.61,55.42,67.48,90.2,44.94,68.32,68.17,84.67,77.68,45.36,45.56,102.0,63.34,35.17,107.37,69.86,45.81,76.56,96.64
39.85,69.75,60.74,33.23,68.38,61.1,82.23,66.29,63.08,63.66,47.74,67.8,45.79,71.45,88.79,53.99,47.53,68.25,124.03,83.42,62.4,84.07,92.87,30.38,71.29
55.97,56.99,59.81,71.94,70.9,61.9,57.47,59.39,85.57,64.11,56.76,80.6,69.09,63.97,47.15,66.6,28.39,62.16,90.03,31.38,60.78,82.3,45.03,94.98,76.9
41.35,49.31,48.93,54.5,53.61,35.43,46.17,52.53,36.81,37.15,44.69,64.89,56.68,61.4,67.81,72.46,46.95,68.32,91.43,50.47,77.56,71.83,86.73,68.9,108.49
67.27,62.6,46.4,59.32,50.15,56.65,41.51,65.23,57.22,52.03,53.63,40.51,70.16,72.21,74.87,98.05,68.27,74.74,40.52,34.0,67.25,73.2,59.06,75.54,79.04
42.78,65.08,54.17,65.42,54.3,62.23,71.71,48.86,45.83,57.1,42.5,46.65,62.29,56.97,72.74,56.33,56.65,80.52,55.21,60.28,77.53,70.29,83.25,86.27,88.22
